EODDate,EODPrice
39814,10.9694
39815,11.6634
39818,12.1556
39819,11.9551
39820,11.6968
39821,11.914
39822,11.6415
39825,11.3948
39826,11.2727
39827,10.9668
39828,10.7162
39829,10.5812
39832,10.5812
39833,10.0504
39834,10.6455
39835,11.3562
39836,11.3562
39839,11.5207
39840,11.6608
39841,12.1068
39842,11.9526
39843,11.5837
39846,11.7611
39847,11.95
39848,12.0233
39849,12.3973
39850,12.8162
39853,13.1748
39854,12.5733
39855,12.4435
39856,12.7584
39857,12.7443
39860,12.7443
39861,12.1492
39862,12.1286
39863,11.6493
39864,11.7212
39867,11.175
39868,11.5991
39869,11.7161
39870,11.4629
39871,11.4783
39874,11.3022
39875,11.3575
39876,11.7174
39877,11.4179
39878,10.9629
39881,10.6815
39882,11.3906
39883,11.9114
39884,12.3831
39885,12.3291
39888,12.2636
39889,12.8085
39890,13.0476
39891,13.0604
39892,13.0566
39895,13.8367
39896,13.6877
39897,13.6863
39898,14.1207
39899,13.7326
39902,13.4293
39903,13.5103
39904,13.9691
39905,14.4857
39906,14.9073
39909,15.2235
39910,14.7801
39911,14.9497
39912,15.3674
39913,15.3674
39916,15.4509
39917,15.2055
39918,15.1194
39919,15.609
39920,15.8622
39923,15.4869
39924,15.6489
39925,15.6167
39926,16.1167
39927,15.9239
39930,16.0306
39931,15.9242
39932,16.0833
39933,16.172
39934,16.3532
39937,16.9739
39938,17.0562
39939,17.0292
39940,16.5871
39941,16.6038
39944,16.6526
39945,15.9907
39946,15.3571
39947,15.8018
39948,15.7337
39951,16.2773
39952,16.3802
39953,16.1771
39954,15.9599
39955,15.744
39958,15.744
39959,16.8081
39960,17.0999
39961,17.3595
39962,17.4546
39965,17.9096
39966,17.9276
39967,18.1152
39968,18.4738
39969,18.5933
39972,18.4879
39973,18.3427
39974,18.0252
39975,17.9867
39976,17.6037
39979,17.4906
39980,17.524
39981,17.425
39982,17.4636
39983,17.9263
39986,17.6551
39987,17.2233
39988,17.5073
39989,17.9751
39990,18.3067
39993,18.2463
39994,18.3054
39995,18.3568
39996,17.9957
39997,17.9957
40000,17.8145
40001,17.4019
40002,17.6358
40003,17.5253
40004,17.8029
40007,18.2939
40008,18.2849
40009,18.8773
40010,18.9596
40011,19.5033
40014,19.6522
40015,19.4724
40016,20.1446
40017,20.2834
40018,20.5618
40021,20.5764
40022,20.5636
40023,20.5674
40024,20.9221
40025,20.9993
40028,21.39
40029,21.2769
40030,21.2203
40031,21.0661
40032,21.2717
40035,21.1702
40036,20.9273
40037,21.246
40038,21.6457
40039,21.4349
40042,20.5109
40043,21.0776
40044,21.1548
40045,21.3771
40046,21.7485
40049,21.728
40050,21.7717
40051,21.5159
40052,21.7781
40053,21.8552
40056,21.6187
40057,21.2445
40058,21.2293
40059,21.4054
40060,21.8886
40063,21.8886
40064,22.2254
40065,21.9953
40066,22.1778
40067,22.1264
40070,22.3269
40071,22.512
40072,23.3743
40073,23.7188
40074,23.7792
40077,23.6507
40078,23.7098
40079,23.8409
40080,23.625
40081,23.4386
40084,23.9247
40085,23.8255
40086,23.8216
40087,23.2445
40088,23.7638
40091,23.9082
40092,24.4205
40093,24.4514
40094,24.3254
40095,24.4796
40098,24.5233
40099,24.4218
40100,24.585
40101,24.4912
40102,24.1686
40105,24.4012
40106,25.5451
40107,26.3368
40108,26.3728
40109,26.2108
40112,26.0232
40113,25.3664
40114,24.7277
40115,25.2353
40116,24.2264
40119,24.3305
40120,24.2586
40121,24.5233
40122,24.9372
40123,24.977
40126,25.8921
40127,26.0874
40128,26.1221
40129,25.9602
40130,26.2764
40133,26.5566
40134,26.6041
40135,26.4704
40136,25.77
40137,25.6942
40140,26.4602
40141,26.2751
40142,26.243
40143,26.243
40144,25.7803
40147,25.6929
40148,25.315
40149,25.2199
40150,25.2521
40151,24.8459
40154,24.2843
40155,24.4025
40156,25.4217
40157,25.2456
40158,25.0194
40161,25.3163
40162,24.9552
40163,25.0657
40164,24.6583
40165,25.1171
40168,25.477
40169,25.7507
40170,25.9743
40171,26.8663
40172,26.8663
40175,27.1966
40176,26.874
40177,27.2004
40178,27.0838
40179,27.0838
40182,27.505
40183,27.5526
40184,27.1143
40185,27.0642
40186,27.2441
40189,27.0038
40190,26.6966
40191,27.0732
40192,26.9164
40193,26.4666
40196,26.4666
40197,27.6374
40198,27.2114
40199,26.7419
40200,25.4153
40203,26.0997
40204,26.4679
40205,26.7177
40206,25.6132
40207,24.6844
40210,25.0271
40211,25.1724
40212,25.6055
40213,24.6827
40214,25.121
40217,24.9487
40218,25.2148
40219,25.0767
40220,25.5335
40221,25.7533
40224,25.7533
40225,26.1414
40226,26.0322
40227,26.0808
40228,25.9191
40231,25.7579
40232,25.3265
40233,25.7888
40234,25.9615
40235,26.2982
40238,26.8599
40239,26.8419
40240,26.9036
40241,27.0809
40242,28.1399
40245,28.1567
40246,28.663
40247,28.8969
40248,28.9818
40249,29.1231
40252,28.7684
40253,28.8468
40254,28.8044
40255,28.8725
40256,28.5641
40259,28.8854
40260,29.3493
40261,29.4791
40262,29.1296
40263,29.6758
40266,29.8673
40267,30.3113
40268,30.2027
40269,30.3274
40270,30.3274
40273,30.6513
40274,30.7862
40275,30.9225
40276,30.8389
40277,31.0754
40280,31.1397
40281,31.1576
40282,31.5766
40283,31.9918
40284,31.7964
40287,31.754
40288,31.4353
40289,33.3155
40290,34.2473
40291,34.8077
40294,34.6367
40295,33.678
40296,33.6214
40297,34.5262
40298,33.5559
40301,34.2319
40302,33.2461
40303,32.8998
40304,31.6486
40305,30.3133
40308,32.6434
40309,32.9685
40310,33.6844
40311,33.205
40312,32.6215
40315,32.6729
40316,32.4339
40317,31.9172
40318,30.5575
40319,31.1435
40322,31.7142
40323,31.5162
40324,31.3734
40325,32.5611
40326,33.0148
40329,33.0148
40330,33.5225
40331,33.9234
40332,33.8168
40333,32.8972
40336,32.2514
40337,32.0445
40338,31.2566
40339,32.1961
40340,32.5817
40343,32.6806
40344,33.3759
40345,34.3476
40346,34.9413
40347,35.2246
40350,34.7229
40351,35.1958
40352,34.8257
40353,34.5725
40354,34.2769
40357,34.4825
40358,32.9235
40359,32.3272
40360,31.9352
40361,31.7373
40364,31.7373
40365,31.9545
40366,33.2442
40367,33.1703
40368,33.3669
40371,33.0668
40372,32.3616
40373,32.481
40374,32.3169
40375,32.1177
40378,31.5625
40379,32.3735
40380,32.6755
40381,33.2903
40382,33.4081
40385,33.3232
40386,33.9402
40387,33.5392
40388,33.1729
40389,33.0623
40392,33.6536
40393,33.6638
40394,33.7988
40395,33.6343
40396,33.4275
40399,33.6407
40400,33.34
40401,32.155
40402,32.3606
40403,32.0149
40406,31.8273
40407,32.3838
40408,32.5251
40409,32.1151
40410,32.0843
40413,31.5908
40414,30.8363
40415,31.2168
40416,30.8813
40417,31.0535
40420,31.1666
40421,31.2438
40422,32.173
40423,32.4095
40424,33.2577
40427,33.2577
40428,33.1343
40429,33.7911
40430,33.8103
40431,33.854
40434,34.3206
40435,34.4517
40436,34.7293
40437,35.5454
40438,35.3912
40441,36.4014
40442,36.4708
40443,36.9823
40444,37.1326
40445,37.5696
40448,37.4211
40449,36.8679
40450,36.9334
40451,36.4682
40452,36.3101
40455,35.8114
40456,37.1352
40457,37.1674
40458,37.1712
40459,37.7945
40462,37.9603
40463,38.369
40464,38.5747
40465,38.8536
40466,40.4511
40469,40.8701
40470,39.7764
40471,39.91
40472,39.7802
40473,39.5167
40476,39.6928
40477,39.5913
40478,39.563
40479,39.2301
40480,38.6826
40483,39.0939
40484,39.7596
40485,40.2018
40486,40.9048
40487,40.7583
40490,40.9498
40491,40.6233
40492,40.8739
40493,40.6972
40494,39.5887
40497,39.4608
40498,38.761
40499,38.6209
40500,39.6401
40501,39.4216
40504,40.2737
40505,39.6787
40506,40.4582
40507,40.4582
40508,40.5822
40511,40.7248
40512,39.9897
40513,40.6644
40514,40.8894
40515,40.7981
40518,41.1464
40519,40.8971
40520,41.2569
40521,41.096
40522,41.1991
40525,41.3418
40526,41.1644
40527,41.1734
40528,41.2878
40529,41.2055
40532,41.4112
40533,41.6676
40534,41.7903
40535,41.5898
40536,41.5898
40539,41.7286
40540,41.8301
40541,41.807
40542,41.5975
40543,41.4561
40546,42.3571
40547,42.5781
40548,42.9264
40549,42.8917
40550,43.1989
40553,44.0131
40554,43.9083
40555,44.2656
40556,44.4276
40557,44.7874
40560,44.7874
40561,43.7811
40562,43.5485
40563,42.7568
40564,41.9908
40567,43.3698
40568,43.8775
40569,44.1924
40570,44.1101
40571,43.1963
40574,43.6102
40575,44.344
40576,44.2528
40577,44.1397
40578,44.533
40581,45.2244
40582,45.6511
40583,46.0315
40584,45.5663
40585,45.8632
40588,46.1626
40589,46.2552
40590,46.6703
40591,46.0495
40592,45.0548
40595,45.0548
40596,43.5189
40597,44.0343
40598,44.0677
40599,44.7463
40602,45.3953
40603,44.8941
40604,45.2553
40605,46.2115
40606,46.268
40609,45.6717
40610,45.7231
40611,45.3002
40612,44.5548
40613,45.2385
40616,45.4403
40617,44.3954
40618,42.4136
40619,43.0087
40620,42.4985
40623,43.6076
40624,43.8518
40625,43.5935
40626,44.3363
40627,45.1807
40630,45.0393
40631,45.1062
40632,44.8067
40633,44.791
40634,44.2836
40637,43.8505
40638,43.5549
40639,43.4457
40640,43.4508
