EODDate,EODPrice
39814,51.28
39815,54.36
39818,54.06
39819,57.36
39820,56.2
39821,57.16
39822,55.51
39825,51.92
39826,51.45
39827,48.49
39828,51.44
39829,51.59
39832,51.59
39833,48.44
39834,50.54
39835,49.94
39836,50.63
39839,49.63
39840,48.44
39841,50.36
39842,50
39843,58.82
39846,61.15
39847,63.59
39848,61.06
39849,63.18
39850,66.55
39853,66.71
39854,63.31
39855,64.354
39856,63.96
39857,63.26
39860,63.26
39861,61.67
39862,62.35
39863,61.95
39864,63.86
39867,61.71
39868,65.6
39869,63.71
39870,62.34
39871,64.79
39874,61.99
39875,61.7
39876,64.81
39877,64.77
39878,61.69
39881,60.49
39882,65.71
39883,68.54
39884,69.58
39885,68.63
39888,66.98
39889,71.35
39890,71.25
39891,70.1
39892,69.96
39895,75.58
39896,72.81
39897,72.4
39898,73.69
39899,70.52
39902,71.44
39903,73.44
39904,73.5
39905,76.34
39906,78.17
39909,77.99
39910,75.51
39911,76.98
39912,79.77
39913,79.77
39916,78.94
39917,77.22
39918,74.71
39919,77.25
39920,78.05
39923,77.57
39924,78.74
39925,79.2
39926,80.61
39927,84.46
39930,83.12
39931,82.4
39932,79.79
39933,80.52
39934,78.96
39937,79.77
39938,81.9
39939,81.99
39940,79.28
39941,77.95
39944,78.61
39945,77.93
39946,74.19
39947,75.11
39948,73.6
39951,75.95
39952,77.87
39953,77.97
39954,75.96
39955,75.64
39958,75.64
39959,78.39
39960,77.1
39961,77.65
39962,77.99
39965,83.05
39966,84.93
39967,85.68
39968,85.52
39969,87.56
39972,86.36
39973,87.08
39974,86.59
39975,85.69
39976,84.08
39979,83.18
39980,82.15
39981,82.65
39982,81.595
39983,82.96
39986,79.15
39987,77.68
39988,79.27
39989,82.2
39990,83.88
39993,83.03
39994,83.66
39995,81.6
39996,79.32
39997,79.32
40000,78.1
40001,75.63
40002,77.36
40003,78.1
40004,77.63
40007,81.47
40008,81.95
40009,84.55
40010,86.11
40011,85.85
40014,88.23
40015,89.01
40016,88.79
40017,93.87
40018,86.49
40021,84.24
40022,84.98
40023,84.34
40024,86.09
40025,85.76
40028,87.44
40029,85.8
40030,84.29
40031,84.47
40032,85.32
40035,84.44
40036,83.56
40037,85.96
40038,84.6
40039,83.58
40042,81.06
40043,82.12
40044,83
40045,84.09
40046,85
40049,84.5
40050,84.19
40051,84
40052,84.31
40053,82.76
40056,81.19
40057,79.16
40058,78.14
40059,78.46
40060,78.87
40063,78.87
40064,80.9
40065,82.24
40066,83.85
40067,84.54
40070,83.86
40071,83.55
40072,90.7
40073,90.44
40074,90.28
40077,90.56
40078,93.75
40079,92.38
40080,92.11
40081,90.52
40084,92.21
40085,91.72
40086,93.36
40087,91.04
40088,89.85
