EODDate,EODPrice
41900,68
41901,93.89
41904,89.89
41905,87.17
41906,90.57
41907,88.92
41908,90.46
41911,88.75
41912,88.85
41913,86.1
41914,87.06
41915,88.1
41918,88.31
41919,87.67
41920,88.3
41921,88.79
41922,85.88
41925,85.12
41926,84.95
41927,85.6
41928,88.85
41929,87.91
41932,88.26
41933,90.9
41934,91.63
41935,94.45
41936,95.76
41939,97.79
41940,99.68
41941,98.31
41942,98.73
41943,98.6
41946,101.8
41947,106.07
41948,108.67
41949,111.57
41950,114.56
41953,119.15
41954,114.54
41955,118.2
41956,114.84
41957,115.1
41960,114.25
41961,110.81
41962,108.82
41963,109.82
41964,110.73
41967,113.92
41968,113.47
41969,112.67
41970,112.67
41971,111.64
41974,105.99
41975,109.89
41976,110.64
41977,109.17
41978,107.9
41981,105.07
41982,107.48
41983,103.88
41984,104.97
41985,105.11
41988,104.7
41989,105.77
41990,109.02
41991,109.25
41992,110.65
41995,108.77
41996,105.52
41997,105.95
41998,105.95
41999,105.95
42002,105.98
42003,105.75
42004,103.94
42005,103.94
42006,103.6
42009,101
42010,103.32
42011,102.13
42012,105.03
42013,103.02
42016,101.62
42017,100.77
42018,99.58
42019,96.31
42020,96.89
42023,96.89
42024,100.04
42025,103.29
42026,104
42027,103.11
42030,103.99
42031,102.94
42032,98.45
42033,89.81
42034,89.08
42037,90.13
42038,90.61
42039,90
42040,87
42041,85.68
42044,86
42045,87.26
42046,86
42047,87.1
42048,89.05
42051,89.05
42052,86.85
42053,86.74
42054,86.89
42055,86.64
42058,85.47
42059,84.69
42060,86.19
42061,85.37
42062,85.12
42065,84
42066,81.58
42067,85.49
42068,86.1
42069,84.4
42072,82.53
42073,82.97
42074,81.99
42075,81.92
42076,81.86
42079,84
42080,84.5
42081,84.59
42082,85.74
42083,85.2
42086,84.25
42087,83.63
42088,83.75
42089,84.17
42090,84.58
42093,83.9
42094,83.24
42095,82.36
42096,82.28
42097,82.28
42100,81.82
42101,82.21
42102,85.39
42103,86.14
42104,84.58
42107,84.28
42108,85
42109,84.67
42110,84.06
42111,81.9
42114,82.2
42115,82.42
42116,82.05
42117,82.28
42118,84.57
42121,84.9
42122,85.08
42123,82.45
42124,81.29
42125,81.17
42128,80.59
42129,79.54
42130,80
42131,86
42132,87.06
42135,86.72
42136,86.77
42137,87.53
42138,88.4
42139,88.46
42142,87.11
42143,88.21
42144,90.7
42145,93.88
42146,93.27
42149,93.27
42150,92.52
42151,92.6
42152,90.95
42153,89.32
42156,90.78
42157,90.51
42158,90.79
42159,90.59
42160,90.71
42163,88.29
42164,87.58
42165,88.9
42166,87.21
42167,86.63
42170,86.12
42171,86.09
42172,86.8
42173,86.75
42174,85.74
42177,85.68
42178,85.08
42179,85.17
42180,85.24
42181,83.28
42184,81.07
42185,82.27
42186,82.46
42187,82.07
42188,82.07
42191,80.23
42192,79.62
42193,77.94
42194,79.04
42195,80.3
42198,81.86
42199,81.5
42200,80.73
42201,81.53
42202,83.36
42205,82.67
42206,82.54
42207,84.15
42208,83.88
42209,83.02
42212,81.4
42213,80.56
42214,80.26
42215,79.96
42216,78.34
42219,77.99
42220,78.87
42221,79.82
42222,78.96
42223,78.82
42226,80.47
42227,77.34
42228,73.38
42229,75.11
42230,74.76
42233,75.19
42234,73.88
42235,73.12
42236,70.32
42237,68.18
42240,65.8
42241,68.57
42242,68.66
42243,70.84
42244,70.07
42247,66.12
42248,64.83
42249,65.54
42250,66.47
42251,63.91
42254,63.91
42255,60.91
42256,64.04
42257,63.83
42258,64.63
42261,62.6
42262,64.85
42263,67.23
42264,66
42265,65.75
42268,63.9
42269,61.9
42270,60
42271,59.92
42272,59.24
42275,57.39
42276,57.82
42277,58.97
42278,58.87
42279,63.2
42282,63.93
42283,63.92
42284,66.28
42285,67.7
42286,68.71
42289,70.3
42290,69.68
42291,68.54
42292,71.78
42293,71.99
42296,72.65
42297,71.79
42298,69.48
42299,70.99
42300,75.62
42303,76.35
42304,79.44
42305,82.35
42306,82.22
42307,83.83
42310,84.35
42311,83.44
42312,85.4
42313,85.38
42314,83.61
42317,81.38
42318,81.43
42319,79.85
42320,78.76
42321,75.85
42324,78.3
42325,78.13
42326,77.69
42327,77.87
42328,79.95
42331,81.31
42332,80.86
42333,81.71
42334,81.71
42335,81.38
42338,84.08
42339,84
42340,85
42341,82.59
42342,84.85
42345,84.76
42346,84.38
42347,83.42
42348,84.33
42349,79.74
42352,80.57
42353,82.49
42354,84.63
42355,83.56
42356,82.65
42359,82.87
42360,84.84
42361,84.8
42362,83.71
42363,83.71
42366,82.14
42367,83.26
42368,81.68
42369,81.27
42370,81.27
42373,76.69
42374,78.63
42375,77.33
42376,72.72
42377,70.8
42380,69.92
42381,72.68
42382,70.29
42383,72.25
42384,69.59
42387,69.59
42388,70.13
42389,68.71
42390,70.72
42391,70.37
42394,69.72
42395,69.77
42396,69.54
42397,66.92
42398,67.03
42401,67.03
42402,65.09
42403,63.44
42404,64.86
42405,62.64
42408,61.1
42409,61.39
42410,61.78
42411,60.57
42412,60.89
42415,60.89
42416,66.29
42417,66.38
42418,66.52
42419,67.28
42422,68.84
42423,66.97
42424,67.23
42425,66.66
42426,66.91
42429,68.81
42430,70.86
42431,71.25
42432,71.02
42433,72.22
42436,72.89
42437,71.07
42438,72.43
42439,71.97
42440,74.01
42443,73.35
42444,72.23
42445,73.5
42446,74.25
