EODDate,EODPrice
41046,38
41047,38.232
41050,34.03
41051,31
41052,32
41053,33.03
41054,31.91
41057,31.91
41058,28.84
41059,28.19
41060,29.6
41061,27.72
41064,26.9
41065,25.869
41066,26.81
41067,26.31
41068,27.1
41071,27.005
41072,27.4
41073,27.27
41074,28.29
41075,30.014
41078,31.41
41079,31.911
41080,31.6
41081,31.84
41082,33.05
41085,32.06
41086,33.1
41087,32.23
41088,31.36
41089,31.095
41092,30.771
41093,31.2
41094,31.2
41095,31.47
41096,31.73
41099,32.17
41100,31.47
41101,30.97
41102,30.81
41103,30.72
41106,28.245
41107,28.09
41108,29.11
41109,29
41110,28.76
41113,28.75
41114,28.45
41115,29.34
41116,26.845
41117,23.705
41120,23.15
41121,21.71
41122,20.88
41123,20.04
41124,21.09
41127,21.92
41128,20.72
41129,20.72
41130,21.01
41131,21.807
41134,21.6
41135,20.38
41136,21.2
41137,19.87
41138,19.05
41141,20.011
41142,19.159
41143,19.439
41144,19.44
41145,19.409
41148,19.15
41149,19.34
41150,19.1
41151,19.089
41152,18.058
41155,18.058
41156,17.729
41157,18.58
41158,18.96
41159,18.98
41162,18.81
41163,19.43
41164,20.931
41165,20.713
41166,22
41169,21.52
41170,21.87
41171,23.29
41172,22.59
41173,22.86
41176,20.79
41177,20.28
41178,20.62
41179,20.32
41180,21.66
41183,21.99
41184,22.27
41185,21.83
41186,21.948
41187,20.91
41190,20.4
41191,20.227
41192,19.64
41193,19.75
41194,19.518
41197,19.52
41198,19.48
41199,19.88
41200,18.975
41201,19
41204,19.321
41205,19.5
41206,23.23
41207,22.56
41208,21.943
41211,21.943
41212,21.943
41213,21.11
41214,21.21
41215,21.18
41218,21.25
41219,21.171
41220,20.47
41221,19.99
41222,19.21
41225,20.07
41226,19.86
41227,22.36
41228,22.17
41229,23.561
41232,22.92
41233,23.1
41234,24.32
41235,24.32
41236,23.998
41239,25.94
41240,26.15
41241,26.36
41242,27.32
41243,28
41246,27.04
41247,27.46
41248,27.71
41249,26.97
41250,27.485
41253,27.84
41254,27.98
41255,27.58
41256,28.24
41257,26.812
41260,26.75
41261,27.71
41262,27.41
41263,27.36
41264,26.26
41267,26.93
41268,26.93
41269,26.51
41270,26.05
41271,25.911
41274,26.62
41275,26.62
41276,28
41277,27.77
41278,28.76
41281,29.421
41282,29.061
41283,30.59
41284,31.3
41285,31.72
41288,30.948
41289,30.1
41290,29.85
41291,30.14
41292,29.66
41295,29.66
41296,30.729
41297,30.82
41298,31.08
41299,31.54
41302,32.469
41303,30.79
41304,31.24
41305,30.981
41306,29.73
41309,28.109
41310,28.64
41311,29.05
41312,28.65
41313,28.545
41316,28.26
41317,27.37
41318,27.908
41319,28.5
41320,28.32
41323,28.32
41324,28.93
41325,28.462
41326,27.283
41327,27.13
41330,27.27
41331,27.39
41332,26.87
41333,27.25
41334,27.78
41337,27.72
41338,27.52
41339,27.453
41340,28.578
41341,27.96
41344,28.14
41345,27.83
41346,27.08
41347,27.04
41348,26.645
41351,26.49
41352,26.55
41353,25.86
41354,25.74
41355,25.73
41358,25.131
41359,25.205
41360,26.09
41361,25.58
41362,25.58
41365,25.53
41366,25.42
41367,26.25
41368,27.073
41369,27.39
41372,26.849
41373,26.59
41374,27.57
41375,28.018
41376,27.4
41379,26.52
41380,26.92
41381,26.625
41382,25.69
41383,25.73
41386,25.97
41387,25.98
41388,26.11
41389,26.14
41390,26.85
41393,26.98
41394,27.769
41395,27.43
41396,28.97
41397,28.311
41400,27.57
41401,26.889
41402,27.12
41403,27.04
41404,26.68
41407,26.82
41408,27.07
41409,26.6
41410,26.13
41411,26.25
41414,25.759
41415,25.66
41416,25.159
41417,25.06
41418,24.313
41421,24.313
41422,24.1
41423,23.32
41424,24.55
41425,24.348
