EODDate,EODPrice
41725,556.931
41726,558.456
41729,555.445
41730,565.607
41731,565.447
41732,568.18
41733,541.653
41736,536.676
41737,553.38
41738,562.595
41739,539.469
41740,529.147
41743,531.062
41744,534.971
41745,555.016
41746,534.632
41747,534.632
41750,527.172
41751,533.345
41752,525.497
41753,523.722
41754,514.766
41757,515.734
41758,526.255
41759,525.218
41760,529.895
41761,526.484
41764,526.365
41765,513.729
41766,508.563
41767,509.601
41768,517.309
41771,528.469
41772,531.63
41773,525.208
41774,518.556
41775,519.204
41778,527.412
41779,528.319
41780,537.464
41781,543.567
41782,551.186
41785,551.186
41786,564.4
41787,560.142
41788,558.546
41789,558.357
41792,552.413
41793,543.448
41794,543.168
41795,552.383
41796,554.807
41799,560.581
41800,559.015
41801,557.31
41802,549.84
41803,550.249
41806,542.79
41807,541.523
41808,551.855
41809,553.38
41810,554.836
41813,563.403
41814,563.074
41815,577.065
41816,574.423
41817,575.659
41820,573.705
41821,581.074
41822,580.74
41823,583.129
41824,583.129
41827,580.656
41828,569.526
41829,574.502
41830,569.536
41831,577.594
41834,583.268
41835,583.179
41836,581.064
41837,572.159
41838,593.45
41841,587.856
41842,593.111
41843,594.348
41844,591.725
41845,587.407
41848,588.983
41849,584.006
41850,585.811
41851,570.035
41852,564.52
41855,571.58
41856,563.523
41857,564.823
41858,561.817
41859,567.212
41862,566.325
41863,561.189
41864,573.206
41865,573.076
41866,571.91
41869,580.566
41870,585.253
41871,582.889
41872,581.772
41873,580.965
41876,578.611
41877,576.278
41878,569.436
41879,567.641
41880,570.035
41883,570.035
41884,575.749
41885,576.357
41886,580.386
41887,584.475
41890,588.105
41891,579.419
41892,581.503
41893,579.758
41894,574.044
41897,571.531
41898,578.362
41899,583.169
41900,587.656
41901,594.448
41904,585.761
41905,579.539
41906,586.38
41907,573.485
41908,575.52
41911,574.782
41912,575.779
41913,566.714
41914,568.519
41915,573.705
41918,575.769
41919,562.196
41920,570.932
41921,559.344
41922,542.999
41925,531.75
41926,536.467
41927,528.579
41928,523.074
41929,509.77
41932,519.414
41933,525.098
41934,531.251
41935,542.49
41936,538.302
41939,539.289
41940,547.397
41941,547.826
41942,548.803
41943,557.549
41946,553.7
41947,552.593
41948,544.425
41949,540.556
41950,539.528
41953,545.991
41954,548.783
41955,545.811
41956,543.886
41957,542.909
41960,535.041
41961,533.565
41962,535.519
41963,533.365
41964,536.028
41967,537.793
41968,539.598
41969,538.89
41970,538.89
41971,540.346
41974,532.338
41975,532.288
41976,529.865
41977,535.839
41978,523.822
41981,525.537
41982,531.909
41983,524.619
41984,526.893
41985,517.24
41988,512.393
41989,494.033
41990,503.507
41991,509.7
41992,514.936
41995,523.433
41996,529.137
41997,527.322
41998,527.322
41999,532.568
42002,528.878
42003,528.967
42004,524.958
42005,524.958
42006,523.373
42009,512.463
42010,500.585
42011,499.728
42012,501.303
42013,494.811
42016,491.201
42017,494.821
42018,499.498
42019,500.416
42020,506.689
42023,506.689
42024,505.512
42025,516.621
42026,532.927
42027,538.471
42030,533.744
42031,517.21
42032,508.603
42033,509.262
42034,533.056
42037,527.033
42038,527.791
42039,521.328
42040,526.135
42041,529.546
42044,526.385
42045,535.47
42046,534.502
42047,541.443
42048,547.507
42051,547.507
42052,541.353
42053,538.222
42054,541.383
42055,537.474
42058,530.453
42059,534.622
42060,542.381
42061,553.959
42062,556.871
42065,569.775
42066,572.069
42067,571.8
42068,573.754
42069,566.13
42072,567.292
42073,553.49
42074,549.671
42075,553.989
42076,545.821
42079,552.991
42080,549.332
42081,557.968
42082,556.462
42083,558.825
42086,557.28
42087,568.629
42088,557.255
42089,553.65
42090,546.838
42093,550.518
42094,546.499
42095,541.074
42096,534.063
42097,534.063
42100,535.295
42101,535.549
42102,540.127
42103,539.299
42104,538.531
42107,537.693
42108,528.938
42109,531.072
42110,532.338
42111,522.615
42114,533.914
42115,532.508
42116,537.888
42117,545.502
42118,563.513
42121,555.37
42122,553.68
42123,549.08
42124,537.34
42125,537.9
42128,540.78
42129,530.8
42130,524.22
42131,530.7
42132,538.22
42135,535.7
42136,529.04
42137,529.62
42138,538.4
42139,533.85
42142,532.3
42143,537.36
42144,539.27
42145,542.51
42146,540.11
42149,540.11
42150,532.32
42151,539.79
42152,539.78
