EODDate,EODPrice
39814,68.0123
39815,70.6064
39818,70.1619
39819,72.1095
39820,70.9458
39821,70.4529
39822,68.4487
39825,69.2649
39826,68.9659
39827,67.2284
39828,67.98
39829,68.6265
39832,68.6265
39833,66.2506
39834,73.8793
39835,72.7884
39836,72.3197
39839,74.0248
39840,74.0733
39841,76.627
39842,74.7602
39843,74.0652
39846,73.4834
39847,75.5441
39848,75.0188
39849,74.6794
39850,78.1164
39853,78.6689
39854,75.7844
39855,77.3201
39856,77.247
39857,76.2476
39860,76.2476
39861,73.6719
39862,74.3544
39863,72.2581
39864,72.1443
39867,68.5529
39868,70.2024
39869,69.7961
39870,72.2906
39871,74.7769
39874,72.3556
39875,71.3155
39876,72.7131
39877,71.0799
39878,69.723
39881,67.8298
39882,70.893
39883,72.0062
39884,73.4525
39885,73.42
39888,74.1188
39889,75.4919
39890,74.7119
39891,75.2888
39892,75.1669
39895,80.2046
39896,79.8714
39897,79.5871
39898,80.2615
39899,76.4995
39902,76.8001
39903,78.7258
39904,79.3108
39905,81.919
39906,83.0566
39909,82.5203
39910,80.2371
39911,82.2197
39912,82.634
39913,82.634
39916,81.2121
39917,80.6596
39918,80.3183
39919,82.4147
39920,82.2847
39923,81.6021
39924,83.1297
39925,83.3247
39926,82.4065
39927,81.3177
39930,81.2121
39931,82.829
39932,84.5354
39933,83.861
39934,84.9985
39937,86.2823
39938,86.006
39939,85.4506
39940,83.7926
39941,82.8941
39944,84.0458
39945,84.8952
39946,83.523
39947,82.5348
39948,82.7961
39951,85.418
39952,86.1776
39953,84.9851
39954,83.9804
39955,83.2208
39958,83.2208
39959,85.7773
39960,84.0703
39961,85.5078
39962,86.8065
39965,88.5135
39966,87.2557
39967,86.978
39968,86.8473
39969,87.5906
39972,87.7948
39973,88.3257
39974,88.4972
39975,89.3548
39976,88.3828
39979,87.9009
39980,87.6559
39981,87.3945
39982,86.8473
39983,86.4879
39986,85.3689
39987,85.3036
39988,85.0667
39989,86.6268
39990,86.3164
39993,86.4389
39994,85.2873
39995,85.6303
39996,83.0902
39997,83.0902
40000,83.0248
40001,81.8323
40002,82.2325
40003,83.376
40004,82.3551
40007,84.6339
40008,84.3316
40009,87.5742
40010,90.3676
40011,94.2718
40014,95.1049
40015,95.5949
40016,94.3943
40017,95.6113
40018,96.085
40021,96.0768
40022,95.791
40023,95.7746
40024,96.2647
40025,96.3219
40028,97.9472
40029,97.6859
40030,96.7629
40031,96.3198
40032,97.9199
40035,97.403
40036,96.6562
40037,97.8871
40038,98.1251
40039,97.2963
40042,95.8931
40043,96.5249
40044,97.2963
40045,97.6081
40046,98.3877
40049,97.9117
40050,97.5096
40051,98.0348
40052,98.002
40053,97.0091
40056,96.8696
40057,95.7536
40058,95.2612
40059,95.4582
40060,96.3854
40063,96.3854
40064,96.1393
40065,95.811
40066,96.5578
40067,96.8696
40070,97.5507
40071,97.9363
40072,99.9632
40073,100.0124
40074,100.2011
40077,99.758
40078,99.7908
40079,99.1426
40080,99.2411
40081,99.3559
40084,97.9199
40085,97.4932
40086,98.1497
40087,96.7465
40088,97.6655
40091,98.2646
40092,99.5775
40093,100.7509
40094,100.3488
40095,103.3358
40098,104.2466
40099,104.2302
40100,105.3216
40101,105.018
40102,99.8155
40105,100.9807
40106,100.7838
40107,99.1836
40108,100.6771
40109,98.7651
40112,98.56
40113,99.0031
40114,99.7006
40115,100.8248
40116,98.9703
40119,98.9292
40120,99.4216
40121,99.5283
40122,101.0135
40123,101.7883
40126,103.8572
40127,104.6073
40128,104.8381
40129,104.0715
40130,104.7062
40133,105.6788
40134,106.025
40135,105.6294
40136,105.1266
40137,104.6485
40140,105.6706
40141,105.4481
40142,104.9123
40143,104.9123
40144,103.6099
40147,104.1457
40148,105.4563
40149,104.8546
40150,105.1348
40151,104.8876
40154,104.7145
40155,104.5166
40156,105.8272
40157,106.6103
40158,106.8905
40161,107.0966
40162,105.9096
40163,106.091
40164,105.0112
40165,105.4316
40168,106.0415
40169,107.0966
40170,107.1543
40171,107.6241
40172,107.6241
40175,109.0583
40176,108.6792
40177,109.2726
40178,107.8961
40179,107.8961
40182,109.1737
40183,107.8549
40184,107.1543
40185,106.7834
40186,107.8549
40189,106.7257
40190,107.5747
40191,107.3439
40192,109.0583
40193,108.6215
40196,108.6215
40197,110.5667
40198,107.3603
40199,106.33
40200,103.4451
40203,103.9561
40204,103.6512
40205,104.1292
40206,102.0026
40207,100.8816
40210,102.761
40211,103.4698
40212,103.577
40213,101.3844
40214,101.813
40217,100.9106
40218,102.0118
40219,101.6806
40220,102.4423
40221,102.6658
40224,102.6658
40225,103.6842
40226,104.595
40227,105.8203
40228,105.307
40231,105.0255
40232,104.7026
40233,105.6382
40234,105.2076
40235,105.2822
40238,106.4496
40239,105.4974
40240,105.0503
40241,104.9179
40242,105.3567
40245,104.6612
40246,103.9492
40247,104.0071
40248,105.6465
40249,105.928
40252,105.8369
40253,106.5324
40254,105.7789
40255,106.2923
40256,105.7375
40259,105.9611
40260,107.1119
40261,106.4165
40262,107.0043
40263,107.0209
40266,106.4661
40267,106.6152
40268,106.1846
40269,106.1846
40270,106.1846
40273,107.0954
40274,106.7476
40275,106.3751
40276,105.6547
40277,106.6069
40280,106.2757
40281,106.8304
40282,108.6685
40283,108.3704
40284,108.1551
40287,109.4799
40288,107.3769
40289,106.7973
40290,106.9132
40291,107.6253
40294,108.2379
40295,106.6566
40296,107.7163
40297,108.0144
40298,106.8056
40301,107.3024
40302,106.077
40303,105.5305
40304,103.1255
40305,101.6109
40308,105.0812
40309,105.5971
40310,110.4155
40311,109.4169
40312,109.1756
40315,108.5514
40316,108.1436
40317,107.2365
40318,103.0256
40319,104.3738
40322,103.5666
40323,103.6248
40324,102.5513
40325,105.181
40326,104.2406
40329,104.2406
40330,103.475
40331,106.0299
40332,106.4876
40333,104.2573
40336,103.3003
40337,102.9591
40338,103.1089
40339,106.2546
40340,106.8953
40343,106.937
40344,108.0105
40345,108.4765
40346,109.0008
40347,108.3101
40350,108.7262
40351,107.6027
40352,108.2768
40353,106.679
40354,105.7885
40357,107.3364
40358,104.0992
40359,102.7593
40360,102.002
40361,101.4112
40364,101.4112
40365,102.7427
40366,105.6887
40367,106.4959
40368,106.4876
40371,107.0784
40372,108.5847
40373,108.7844
40374,108.7844
40375,106.5458
40378,108.0105
40379,105.3142
40380,104.249
40381,106.0798
40382,106.8371
40385,106.8621
40386,107.0451
40387,106.8787
40388,106.5375
40389,106.8537
40392,108.8177
40393,108.4932
40394,109.2421
40395,109.7082
40396,108.8384
40399,110.3939
40400,110.2601
40401,108.5791
40402,107.2996
40403,106.94
40406,106.8563
40407,107.425
40408,108.2132
40409,107.8014
40410,106.6305
40413,105.7691
40414,104.4561
40415,104.7655
40416,102.6831
40417,104.3139
40420,103.2016
40421,102.9758
40422,105.1837
40423,104.5732
40424,106.6974
40427,106.6974
40428,105.3342
40429,105.4429
40430,105.6771
40431,107.0403
40434,108.3951
40435,107.7595
40436,108.2446
40437,108.4453
40438,108.8802
40441,110.2183
40442,110.3772
40443,110.8706
40444,110.118
40445,112.1586
40448,112.6102
40449,112.8109
40450,113.3043
40451,112.1837
40452,113.4381
40455,113.112
40456,115.1275
40457,115.278
40458,116.014
40459,116.1227
40462,116.8001
40463,116.959
40464,117.3939
40465,118.339
40466,117.971
40469,119.4513
40470,115.4369
40471,116.3067
40472,116.9423
40473,116.8085
40476,116.9507
40477,117.6448
40478,118.2804
40479,117.8372
40480,120.0952
40483,119.8611
40484,120.2959
40485,120.5719
40486,122.7631
40487,122.8718
40490,123.0314
40491,122.7626
40492,123.107
40493,122.1662
40494,120.7465
40497,120.6625
40498,119.4865
40499,119.2429
40500,121.2673
40501,121.847
40504,122.1326
40505,120.2761
40506,122.4854
40507,122.4854
40508,120.8809
40511,120.0325
40512,118.8312
40513,121.3093
40514,121.9562
40515,122.1242
40518,121.7966
40519,120.9817
40520,121.7882
40521,121.2169
40522,121.6538
40525,121.2001
40526,122.4938
40527,121.5698
40528,121.427
40529,121.805
40532,121.3934
40533,122.4266
40534,122.603
40535,122.5526
40536,122.5526
40539,122.0906
40540,122.4014
40541,123.0818
40542,123.2078
40543,123.2834
40546,123.8883
40547,124.0227
40548,123.527
40549,124.8795
40550,124.2663
40553,124.0227
40554,123.7202
40555,125.2491
40556,125.0139
40557,126.0051
40560,126.0051
40561,126.5512
40562,130.7849
40563,130.8773
40564,130.6253
40567,134.0947
40568,135.6151
40569,135.2791
40570,135.3043
40571,133.7419
40574,136.0856
40575,137.396
40576,137.1776
40577,137.3708
40578,137.7656
40581,138.4544
40582,140.04
40583,138.8593
40584,138.387
40585,138.1846
40588,137.6533
40589,137.3328
40590,137.8051
40591,138.5135
40592,139.0195
40595,139.0195
40596,136.5822
40597,135.0894
40598,135.587
40599,136.8605
40602,136.5232
40603,134.9123
40604,135.0726
40605,137.8725
40606,136.481
40609,134.8786
40610,136.8605
40611,139.8797
40612,136.6412
40613,136.987
40616,136.1099
40617,134.1111
40618,129.0341
40619,130.0293
40620,131.4714
40623,132.981
40624,133.2509
40625,134.5413
40626,134.9714
40627,136.7762
40630,136.093
40631,137.3665
40632,137.9737
40633,137.5268
40634,138.5388
40637,138.5219
40638,138.3026
40639,138.3448
40640,138.6316
40641,138.3532
40644,138.2689
40645,137.6786
40646,138.2689
40647,139.1291
40648,140.1749
40651,139.9472
40652,139.4918
40653,138.9436
40654,141.9207
40655,141.9207
40658,141.4062
40659,142.0978
40660,143.6833
40661,144.0291
40662,143.8604
40665,145.1845
40666,145.7917
40667,143.8941
40668,142.0725
40669,143.0721
40672,143.25
40673,144.3343
40674,143.5888
40675,145.91
40676,143.9446
40679,143.0467
40680,144.436
40681,144.3851
40682,144.5122
40683,144.1479
40686,142.5384
40687,142.3097
40688,142.1063
40689,141.6235
40690,141.8946
40693,141.8946
40694,143.106
40695,141.0983
40696,140.7001
40697,139.8191
40700,139.565
40701,138.667
40702,139.2176
40703,139.6412
40704,138.235
40707,138.2265
40708,139.0313
40709,137.5149
40710,137.8029
40711,139.3023
40714,139.7937
40715,140.8102
40716,140.3528
40717,140.7255
40718,139.836
40721,141.9962
40722,144.0209
40723,144.4698
40724,145.3254
40725,147.8584
40728,147.8584
40729,148.6123
40730,150.5438
40731,149.5018
40732,149.5103
40735,148.2396
40736,147.4433
40737,147.672
40738,147.5958
40739,148.7055
40742,148.4853
40743,156.8973
40744,155.5757
40745,156.6347
40746,156.8719
40749,155.6181
40750,154.9658
40751,153.6273
40752,154.0085
40753,154.0509
40756,153.1191
40757,150.8318
40758,151.4926
40759,145.2662
40760,146.5368
40763,141.4234
40764,145.1585
40765,138.2924
40766,141.8573
40767,143.108
40770,147.1835
40771,145.6945
40772,145.8987
40773,139.39
40774,134.0383
40777,135.2635
40778,139.8069
40779,141.8829
40780,140.8789
40781,143.9078
40784,146.8687
40785,146.7751
40786,146.2646
40787,144.9203
40788,142.07
40791,142.07
40792,140.479
40793,142.3508
40794,140.5981
40795,137.2969
40798,138.1903
40799,139.0496
40800,142.2913
40801,144.7161
40802,147.1835
40805,147.3026
40806,148.6554
40807,147.209
40808,143.4654
40809,144.078
40812,148.4767
40813,151.1994
40814,151.0632
40815,152.4415
40816,148.783
40819,147.4387
40820,148.6724
40821,150.4676
40822,154.5856
40823,155.1812
40826,158.7802
40827,157.4018
40828,158.3548
40829,158.9503
40830,162.1069
40833,158.7546
40834,152.2118
40835,150.9271
40836,150.808
40837,154.5346
40840,155.0621
40841,153.454
40842,154.8238
40843,158.1506
40844,159.4863
40847,157.087
40848,154.2963
40849,156.4829
40850,159.3587
40851,158.576
40854,159.3757
40855,159.9566
40856,155.6769
40857,156.6251
40858,160.0677
40861,160.042
40862,161.238
40863,159.4184
40864,158.6582
40865,158.2396
40868,155.0276
40869,154.8824
40870,152.0122
40871,152.0122
40872,151.2519
40875,155.6512
40876,154.5664
40877,160.5973
40878,161.8359
40879,162.0153
40882,163.0233
40883,164.8172
40884,165.7655
40885,163.6555
40886,166.2011
40889,164.168
40890,163.2882
40891,161.2123
40892,160.1531
40893,156.813
40896,156.2321
40897,159.9481
40898,155.0191
40899,155.506
40900,157.821
40903,157.821
40904,157.9919
40905,157.1718
40906,159.0426
40907,157.0778
40910,157.0778
40911,159.1451
40912,158.4959
40913,157.7441
40914,155.9331
40917,155.1216
40918,154.8824
40919,155.7452
40920,154.2332
40921,153.0458
40924,153.0458
40925,153.7634
40926,154.6774
40927,154.2076
40928,161.0415
40931,162.2887
40932,163.9545
40933,163.7836
40934,163.1429
40935,162.6987
40938,164.4414
40939,164.5268
40940,164.5439
40941,163.6128
40942,165.4152
40945,164.7147
40946,165.1675
40947,165.4676
40948,165.622
40949,165.0131
40952,165.1846
40953,164.8416
40954,164.8673
40955,165.5277
40956,165.8707
40959,165.8707
40960,165.845
40961,166.2566
40962,169.4639
40963,169.5925
40966,169.3953
40967,169.7812
40968,168.7092
40969,169.3953
40970,170.493
40973,172.0795
