EODDate,EODPrice
39814,15.5118
39815,16.222
39818,16.3736
39819,16.5651
39820,15.5676
39821,16.0544
39822,15.5756
39825,15.5357
39826,15.815
39827,15.2325
39828,15.3522
39829,15.7272
39832,15.7272
39833,14.7458
39834,15.4639
39835,13.6526
39836,13.7244
39839,14.0675
39840,14.0915
39841,14.3947
39842,14.0356
39843,13.6446
39846,14.2271
39847,14.7617
39848,14.8655
39849,15.1926
39850,15.6873
39853,15.5118
39854,15.0011
39855,15.3283
39856,15.3682
39857,15.2325
39860,15.2325
39861,14.5336
39862,14.5577
39863,14.3889
39864,14.4612
39867,13.8266
39868,13.7944
39869,13.6257
39870,13.1919
39871,12.975
39874,12.6857
39875,12.758
39876,12.9509
39877,12.268
39878,12.276
39881,12.1716
39882,13.2401
39883,13.7462
39884,13.6659
39885,13.3767
39888,13.0553
39889,13.5775
39890,13.6257
39891,13.7703
39892,13.7061
39895,14.7264
39896,14.405
39897,14.3648
39898,15.1281
39899,14.5657
39902,14.0435
39903,14.7585
39904,15.5137
39905,15.4976
39906,15.0638
39909,15.0718
39910,15.0718
39911,15.4173
39912,15.8029
39913,15.8029
39916,15.7387
39917,15.5458
39918,15.1281
39919,15.8752
39920,15.4253
39923,14.9513
39924,15.2405
39925,15.0879
39926,15.2004
39927,16.7992
39930,16.3894
39931,16.0118
39932,16.2689
39933,16.2769
39934,16.2609
39937,16.2207
39938,15.8993
39939,15.8993
39940,15.5217
39941,15.6021
39944,15.5217
39945,15.9797
39946,15.8672
39947,16.1163
39948,16.2448
39951,16.5501
39952,16.4207
39953,16.4773
39954,16.0246
39955,15.968
39958,15.968
39959,16.445
39960,16.2752
39961,16.5339
39962,16.8897
39965,17.302
39966,17.302
39967,17.5688
39968,17.6497
39969,17.9003
39972,17.8275
39973,17.8518
39974,18.2318
39975,18.4582
39976,18.8624
39979,18.9352
39980,18.9594
39981,19.1454
39982,18.9999
39983,19.4607
39986,18.822
39987,18.8705
39988,18.9756
39989,19.2343
39990,18.8786
39993,19.2909
39994,19.2182
39995,19.4365
39996,18.8948
39997,18.8948
40000,18.7573
40001,18.2156
40002,18.2399
40003,18.1429
40004,18.1024
