EODDate,EODPrice
39814,1211.65
39815,1263.7
39818,1262.52
39819,1274.49
39820,1238.6
39821,1252.52
39822,1223.01
39825,1201.13
39826,1202.65
39827,1163.42
39828,1183.52
39829,1198.14
39832,1198.14
39833,1136.61
39834,1185.76
39835,1168.08
39836,1175.89
39839,1184.56
39840,1194.41
39841,1235.91
39842,1203.85
39843,1180.25
39846,1195.75
39847,1215.66
39848,1215.43
39849,1245.11
39850,1277.49
39853,1281.65
39854,1229.29
39855,1227.05
39856,1242.81
39857,1236.85
39860,1236.85
39861,1187.04
39862,1188.77
39863,1167.89
39864,1172.71
39867,1128.97
39868,1171.45
39869,1160.83
39870,1127.1
39871,1116.99
39874,1076.67
39875,1080.67
39876,1110.3
39877,1074.52
39878,1064.7
39881,1043.87
39882,1112.44
39883,1125.95
39884,1164.71
39885,1168.52
39888,1145.45
39889,1192.17
39890,1206.96
39891,1204.21
39892,1187.18
39895,1259.81
39896,1234.34
39897,1236.66
39898,1281.3
39899,1251.47
39902,1220.81
39903,1237.01
39904,1252.51
39905,1294.3
39906,1316.16
39909,1313.1
39910,1275.42
39911,1300.75
39912,1340.28
39913,1340.28
39916,1336.67
39917,1322.31
39918,1316.51
39919,1352.98
39920,1353.92
39923,1309.37
39924,1329.06
39925,1335.72
39926,1344.41
39927,1373.28
39930,1369.94
39931,1361.92
39932,1382.38
39933,1394.33
39934,1396.62
39937,1427.96
39938,1423.81
39939,1423.85
39940,1389.83
39941,1394.16
39944,1395.79
39945,1377.4
39946,1339.83
39947,1359.67
39948,1355.11
39951,1392.73
39952,1398.05
39953,1393.72
39954,1367.39
39955,1363.17
39958,1363.17
39959,1412.61
39960,1401.88
39961,1420.31
39962,1435.57
39965,1477.12
39966,1480.31
39967,1475.44
39968,1492.74
39969,1493.21
39972,1488.49
39973,1501.55
39974,1495.27
39975,1497.01
39976,1489.97
39979,1456.96
39980,1443.25
39981,1455.89
39982,1453.8
39983,1471.23
39986,1426.61
39987,1424.46
39988,1447.06
39989,1475.82
39990,1480.2
39993,1483.83
39994,1477.25
39995,1481.34
39996,1446.28
39997,1446.28
40000,1441.01
40001,1404.78
40002,1411.53
40003,1414.98
40004,1419.84
40007,1447.7
40008,1452.84
40009,1500.98
40010,1518.87
40011,1527.26
40014,1544
40015,1553.01
40016,1565
40017,1601.52
40018,1599.06
40021,1599.31
40022,1605.47
40023,1599.61
40024,1609.87
40025,1603.36
40028,1628.12
40029,1628.49
40030,1614.44
40031,1600.29
40032,1619.49
40035,1610.43
40036,1594.69
40037,1619.59
40038,1628.65
40039,1611.58
40042,1564.89
40043,1586.5
40044,1596.61
40045,1614.22
40046,1637.78
40049,1634.78
40050,1639.9
40051,1637
40052,1640.97
40053,1643.24
40056,1625.19
40057,1595.84
40058,1594.28
40059,1605.98
40060,1638.07
40063,1638.07
40064,1654.81
40065,1669.23
40066,1686.16
40067,1685.46
40070,1693.76
40071,1699.53
40072,1723.73
40073,1721.09
40074,1725.24
40077,1731.58
40078,1734.09
40079,1724.27
40080,1709.76
40081,1694.15
40084,1724.59
40085,1717.67
40086,1718.99
40087,1666.41
40088,1662.49
40091,1675.64
40092,1705.25
40093,1710.45
40094,1717.79
40095,1727.76
40098,1729.63
40099,1730.27
40100,1754.26
40101,1753.36
40102,1739.32
40105,1756.68
40106,1756.19
40107,1753.56
40108,1763.15
40109,1753.63
40112,1746.75
40113,1722.46
40114,1682.06
40115,1711.27
40116,1667.13
40119,1672.91
40120,1679.2
40121,1680.67
40122,1721.09
40123,1730.76
40126,1768.4
40127,1773.17
40128,1782.95
40129,1773.14
40130,1788.61
40133,1807.56
40134,1812.21
40135,1801.74
40136,1773.19
40137,1764.39
40140,1792.94
40141,1786.25
40142,1793.67
40143,1793.67
40144,1765.46
40147,1767.43
40148,1787.71
40149,1790.82
40150,1782.91
40151,1791.91
40154,1783.65
40155,1772.73
40156,1789.7
40157,1799.37
40158,1792.06
40161,1809.09
40162,1798.21
40163,1800.82
40164,1778.27
40165,1807.36
40168,1828.79
40169,1839.51
40170,1851.99
40171,1869.84
40172,1869.84
40175,1878.18
40176,1872.02
40177,1878.65
40178,1860.31
40179,1860.31
40182,1886.7
40183,1888.43
40184,1878.42
40185,1876.72
40186,1892.59
40189,1886.24
40190,1861.79
40191,1886.13
40192,1886.52
40193,1864.52
40196,1864.52
40197,1895.48
40198,1867.95
40199,1850.57
40200,1794.82
40203,1802.39
40204,1803.86
40205,1818.9
40206,1771.1
40207,1741.04
40210,1760.72
40211,1776.92
40212,1784.7
40213,1732.99
40214,1746.12
40217,1734.88
40218,1753.84
40219,1749.76
40220,1775.74
40221,1779.11
40224,1779.11
40225,1802.06
40226,1810.86
40227,1823.39
40228,1823.32
40231,1817.63
40232,1793.82
40233,1812.51
40234,1812.91
40235,1818.68
40238,1846.4
40239,1851.21
40240,1851.57
40241,1859.72
40242,1888.56
40245,1890.89
40246,1901.38
40247,1917.35
40248,1923.81
40249,1924.43
40252,1920.09
40253,1932.24
40254,1936.22
40255,1943.94
40256,1932.43
40259,1949.59
40260,1963.2
40261,1951.84
40262,1949.15
40263,1952.63
40266,1961.22
40267,1967.96
40268,1958.34
40269,1959.56
40270,1959.56
40273,1977.83
40274,1981.95
40275,1977.3
40276,1980.73
40277,1994.43
40280,1995.65
40281,2003.81
40282,2028.82
40283,2038.64
40284,2012.84
40287,2013.53
40288,2023.6
40289,2034.53
40290,2045.16
40291,2055.33
40294,2049.09
40295,2006.25
40296,2007.59
40297,2042.89
40298,2000.63
40301,2031.6
40302,1968.97
40303,1958.26
40304,1893.75
40305,1849.44
40308,1942.61
40309,1940.48
40310,1975.58
40311,1945.52
40312,1907.1
40315,1915.45
40316,1887.06
40317,1873.42
40318,1800.12
40319,1822.77
40322,1815.28
40323,1815.68
40324,1796.47
40325,1862.71
40326,1852.39
40329,1852.39
40330,1835.04
40331,1879.59
40332,1895.66
40333,1832.04
40336,1798.16
40337,1795.7
40338,1778.92
40339,1830.09
40340,1847.15
40343,1845.48
40344,1897.48
40345,1905.31
40346,1910.65
40347,1913.48
40350,1895.84
40351,1880.54
40352,1874.42
40353,1844.59
40354,1838.52
40357,1836
40358,1764.06
40359,1739.14
40360,1734.41
40361,1728.34
40364,1728.34
40365,1734.68
40366,1789.72
40367,1798.31
40368,1814.79
40371,1821.03
40372,1845.03
40373,1853.41
40374,1856.24
40375,1803.48
40378,1819.28
40379,1840.67
40380,1817.3
40381,1863.1
40382,1875.38
40385,1890.4
40386,1888.81
40387,1872.62
40388,1860.3
40389,1864
40392,1898.99
40393,1891.81
40394,1909.2
40395,1904.95
40396,1902.88
40399,1915.17
40400,1899.24
40401,1845.38
40402,1832.17
40403,1818.8
40406,1821.51
40407,1845.37
40408,1850.8
40409,1823
40410,1825.75
40413,1808.31
40414,1775.27
40415,1790.88
40416,1769.02
40417,1791.64
40420,1772.07
40421,1767.43
40422,1820.05
40423,1840.58
40424,1870.31
40427,1870.31
40428,1856.5
40429,1880
40430,1886.14
40431,1892.34
40434,1921.67
40435,1928.59
40436,1939.6
40437,1948.11
40438,1955.83
40441,1989.43
40442,1989.11
40443,1982.76
40444,1982.15
40445,2023.84
40448,2010.99
40449,2012.43
40450,2009.08
40451,1998.04
40452,1996.6
40455,1975.33
40456,2024.63
40457,2006.52
40458,2011.63
40459,2027.03
40462,2026.98
40463,2041.55
40464,2057.25
40465,2054.51
40466,2097.73
40469,2104.15
40470,2069.73
40471,2085.75
40472,2090.1
40473,2104.21
40476,2113.55
40477,2119.05
40478,2125.88
40479,2129.73
40480,2124.45
40483,2128.42
40484,2151.72
40485,2158.36
40486,2187.8
40487,2186.71
40490,2188.94
40491,2176.88
40492,2187.74
40493,2173.11
40494,2137.95
40497,2131.48
